cod_mcc	descripcion	categoria_slug
1711	TECNICO EN REFRIGERACION	servicios
1750	CARPINTERIA	servicios
2741	MISCELLANEOUS PUBLISHING AND PRINTING, P	servicios
2842	SANITATION, POLISHING, AND SPECIALTY CLE	servicios
3001	AEROLINEAS-AMERICAN AIRLINES	viajes
3018	AEROLINEAS - VARIG (BRAZIL)	viajes
3030	AEROLINEAS - AEROLINEAS ARGENTINAS	viajes
3052	AEROLINEAS - LANCHILE	viajes
3055	AEROLINEAS - LAB (BOLIVIA)	viajes
3102	AEROLINEAS - IBERIA	viajes
3127	AEROLINEAS - TACA INTERNATIONAL	viajes
3219	AEROLINEAS - COPA	viajes
3247	AEROLINEAS - ATLANTIC AIR	viajes
3248	AEROLINEAS - TAM	viajes
3301	WIZZ AIRLINES	viajes
3351	AEROLINEAS - AFFILIATED AUTO RENTAL	viajes
3357	HERTZ RENT-A-CAR	viajes
3389	AVIS RENT-A-CAR	viajes
3412	A-1 RENT-A-CAR	viajes
3501	HOLIDAY INNS	viajes
3503	SHERATON HOTELS	viajes
3619	ALOFT	viajes
3750	CROWNE PLAZA HOTELS	viajes
4111		transporte
4121	TAXI - LIMOSINAS	transporte
4131	OMNIBUS, TRANSPORTES DE ALQUILER Y TURIS	transporte
4214	TRANSPORTES DE CARGAS , LOCALES Y EXTRAN	transporte
4215	SERVICIOS DE GUIAS-AEREOS Y TERRESTRES .	viajes
4468	MARINA, MARINE SEEVICES AND SUPPLIES	viajes
4511	AIRLINES, AIR CARRIERS	viajes
4582	AIRPORTS, FLYING FIELDS, AIRPORT TERMINA	viajes
4722	AGENCIAS DE VIAJES	viajes
4789	SERVICIOS DE TRANSPORTES - AUN NO CLASIF	transporte
4813	KEY-ENTRY TELECOM MERCHANT PROVIDING SIN	servicios
4814	SERVICIOS DE TELECOMUNICACIONES	servicios
4816		servicios
4899	SERVICIOS DE CABLE	servicios
4900	SERVICIOS PUBLICOS - GAS, SALUBRIDAD, AG	servicios
5013	MOTOR VEHICLE SUPPLIES AND NEW PARTS*	servicios
5021	COMMERCIAL FURNITURE, FURNITURE,OFFICE A	hogar
5039	CONSTRUCTION MATERIALS-NOT ELSEWHERE CLA	hogar
5045	COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT	tecnologia
5046	COMMERCIAL EQUIPMENT-NOT ELSEWHERE CLASS	servicios
5047	DENTAL EQUIPMENT AND SUPPLIES, MEDICAL E	salud
5065	ELECTRICAL PARTS AND EQUIPMENT*	hogar
5072	HARDWARE EQUIPMENT AND SUPPLIES*	hogar
5111	OFFICE SUPPLIES, PRINTING AND WRITING PA	servicios
5122		farmacia
5169	CHEMICALS AND ALLIED PRODUCTS-NOT ELSEWH	servicios
5192	LIBROS PERIODICOS SEMANARIOS	educacion
5193	FLORISTS SUPPLIES, NURSERY STOCK, AND FL	hogar
5199	NONDURABLE GOODS-NOT ELSEWHERE CLASSIFIE	otros
5200	ALMACEN DE REPUESTOS PARA EL HOGAR	hogar
5211	TIENDA DE MATERIALES DE CONSTRUCCION Y M	hogar
5231	TIENDA DE VIDRIOS, PINTURAS Y TAPIZADOS	hogar
5251	FERRETERIAS	hogar
5261	ARTICULOS PARA EL JARDIN, CESPED, SEMILL	hogar
5262	ONLINE MARKETPLACES	otros
5309	TIENDA LIBRE DE IMPUESTOS	otros
5310	TIENDA DE DESCUENTOS	supermercado
5311	GRANDES TIENDAS	supermercado
5331	TIENDA DE VARIEDADES	hogar
5399	MERCANCIAS DE USO GENERAL	otros
5411	SUPERMERCADOS, VIVERRES	supermercado
5412		supermercado
5422	CONGELADORES Y CONSERVADORES DE ALIMENTO	alimentacion
5441	CARAMELOS NUECES -CONFITERIAS	alimentacion
5451	TIENDA DE PRODUCTOS LACTEOS	alimentacion
5462	PANADERIAS	alimentacion
5499	TIENDA DE ALIMENTOS VARIOS	supermercado
5511	CONCESIONARIA-AUTOS Y CAMIONES (NUEVOS Y	servicios
5521	CONCESIONARIA AUOTOS Y CAMIONES (SOLO US	servicios
5532	NEUMATICOS	servicios
5533	ACCESORIOS PARA AUTOMOVILES	servicios
5541	ESTACIONES DE SERVICIOS	combustible
5542		combustible
5571	CONCESIONARIA DE MOTOCICLETAS	servicios
5611	TIENDA DE ROPAS Y ACCESORIOS PARA HOMBRE	ropa
5621	TIENDA DE MODA FEMENINA (TALLES UNICOS)	ropa
5641	TIENDA PARA NIÑOS E INFANTES	ropa
5651	TIENDA DE ROPAS PARA TODA LA FAMILIA	ropa
5655	RIDING APPAREL STORES, SPORTS APPAREL ST	ropa
5661	ZAPATERIAS	ropa
5691	TIENDAS UNISEX	ropa
5697	SASTRES, COSTURERAS, ZURCIDOS, ALTERACIO	servicios
5699	TIENDA DE ADORNOS Y ACCESORIOS VARIOS	ropa
5712	TIENDA DE MUEBLES Y EQUIPOS PARA AL HOGA	hogar
5713	TIENDAS DE ALFOMBRADOS	hogar
5714	TIENDAS DE ESCAPARATES, PAÑOS Y TAPICERI	hogar
5719	TIENDAS DE ACCESORIOS VARIOS PARA EL HOG	hogar
5722	TIENDA DE ARTICULOS PARA EL HOGAR	hogar
5732	VENTAS DE RADIO, STEREO Y TV	tecnologia
5733	TIENDA DE MUSICA, INSTRUMENTOS, PIANOS E	entretenimiento
5734	TIENDA DE SOFTWARE PARA COMPUTADORES	tecnologia
5812	RESTAURANTES	restaurante
5813	BARES EN GRAL (TRAGOS LARGOS CON ALCOHOL	restaurante
5814	RESTAURANTES DE COMIDA RAPIDA	restaurante
5912		farmacia
5921	VENTA DE BEBIDAS - CERVEZA, VINO Y LICOR	alimentacion
5940	VENTAS Y REPARACIONES DE BICICLETAS	entretenimiento
5941	ARTICULOS PARA DEPORTES	entretenimiento
5942	BOOK STORES	educacion
5943	LIBRERIA	educacion
5944	JOYERIA, RELOJERIA Y PLATERIA	ropa
5945	TIENDA DE ENTRETENIMIENTOS Y JUGUETES	entretenimiento
5946	CASA DE REPUESTOS PARA CAMARAS FOTOGRAFI	tecnologia
5947	TIENDA DE REGALOS,TARJETAS,NOVEDADES Y R	otros
5948	ARTICULOS DE CUERO Y EQUIPAJES	ropa
5949	ARTICULOS DE COSTURA EN GRAL.	hogar
5970	ARTICULOS DE ARTESANIA	otros
5971	ARTISTAS Y GALERIAS DE ARTES	entretenimiento
5973	TIENDA DE ARTICULOS RELIGIOSOS	otros
5976	ARTICULOS ORTOPEDICOS - MIEMBROS ARTIFIC	salud
5977	TIENDA DE COSMETICOS	farmacia
5983	GASOLINERAS-ACEITE COMBUSTIBLE,PETROLEO	combustible
5992	FLORICULTORES	hogar
5993	CIGARRILLOS-TABACOS-N/USAR P/ TX WEB	otros
5994	PUESTOS DE VENTAS DE PERIODICOS	educacion
5996	PISCINAS - VENTAS Y SERVICIOS	hogar
5999	TIENDA DE VENTAS AL DETALLE-N/USAR	otros
6011		financiero
6051		financiero
6300	SEGUROS-VENTAS Y SUBSCRIPCIONES	financiero
7011	HOSPEDAJE-HOTELES,MOTELES,PARADOR	viajes
7210	SERVICIOS DE LIMPIEZA,LAVANDERIA,PRENDAS	servicios
7211	LAVANDERIAS-PRIVADAS Y PUBLICAS	servicios
7221	ESTUDIOS FOTOGRAFICOS	servicios
7230	SALONES DE BELLEZA Y PELUQUERIAS	servicios
7261	SERVICIOS DE FUNERALES Y CREMATORIOS	servicios
7278	TIENDA DE COMPRAS , CLUBES	otros
7298	SPA DE SALUD Y BELLEZA	salud
7299	SERVICIOS PERSONALES VARIOS - AUN NO CAL	servicios
7311	PUBLICITARIAS	servicios
7333	ESTUDIOS GRAFICOS Y FOTOGRAFICOS	servicios
7342	SERVICIOS DE EXTERMINACION Y DESINFECCIO	servicios
7379	COMPUTER MAINTENANCE, REPAIR, AND SERVIC	tecnologia
7392	CONSULTING SERVICES, MANAGEMENT SERVICES	servicios
7393	AGENCIAS DE DETECTIVES Y SERVICIOS DE PR	servicios
7394	ALQUILERES Y ARRENDAMIENTOS DE EQUIPOS	servicios
7395	LABORATORIO FOTOGRAFICO, REVELADOS	servicios
7399	SERVICIOS COMERCIALES - AUN NO CLASIFICA	servicios
742	SERVICIOS VETERINARIOS	salud
7512	AGENCIAS DE ALQUILER DE AUTOS -AUN NO CL	viajes
7523	ESTACIONAMIENTOS	transporte
7538	REPARACION DE AUTOMOVILES (NO COMERCIAL)	servicios
7542	LAVADO DE AUTOS	servicios
7622	REPARACION DE RADIOS, TV Y EQUIPOS DE SO	servicios
7623	REPARACION DE AIRE ACONDICIONADO	servicios
763	COOPERATIVA AGRICOLA	financiero
7832		entretenimiento
7841	ALQUILER DE CINTAS GRABADAS	entretenimiento
7923	ORQUESTAS, BANDAS, CANTANTES	entretenimiento
7929	BANDS-NOT ELSEWHERE CLASSIFIED, ENTERTAI	entretenimiento
7941	CAMPOS ATLETICOS Y CLUBES DEPORTIVOS	entretenimiento
7997	CLUBES-DE DEPORTES, RECREACION, GOLF, PR	entretenimiento
7999	SERVICIOS DE RECREACION Y ENTRETENIMIENT	entretenimiento
8011	DOCTORES, MEDICOS	salud
8021	DENTISTAS	salud
8043	OPTICOS	salud
8062	HOSPITALES	salud
8071	LABORATORIOS MEDICOS Y DENTALES	salud
8099	SERVICIOS MEDICOS (AUN NO CLASIFICADOS)	salud
8111	ESCUELAS, PRIMARIAS Y SECUNDARIAS	educacion
8211		educacion
8220	COLEGIOS, UNIVERSIDADES, ESCUELAS PROFES	educacion
8241	ESCUELA POR CORRESPONDENCIA	educacion
8299	SERVICIOS EDUCACIONALES (AUN NO CLASIFIC	educacion
8931	SERVICIOS DE CONTABILIDAD Y AUDITORIA	servicios
8999	SERVICIOS PROFESIONALES (AUN NO CLASIFIC	servicios
9311	PAGOS DE IMPUESTOS	servicios
