cod_mcc	descripcion	categoria_slug
7995	Apuestas y juegos de azar	azar
4812	Equipos de telecomunicaciones	tecnologia
6513	Bienes raíces - alquileres y administración	financiero
8699	Organizaciones de membresía	servicios
8398	Organizaciones caritativas	otros
3722	Aerolíneas - BWIA	viajes
8661	Organizaciones religiosas	servicios
5631	Accesorios para mujeres	ropa
8641	Asociaciones civiles, fraternales	entretenimiento
7994	Salas de juegos de video	entretenimiento
7999	SERVICIOS DE RECREACION Y ENTRETENIMIENT	cripto
