MCC	MCC Descripción
3001	AEROLINEAS-AMERICAN AIRLINES
3018	AEROLINEAS - VARIG (BRAZIL)
3052	AEROLINEAS - LANCHILE
3247	AEROLINEAS - ATLANTIC AIR
4131	OMNIBUS, TRANSPORTES DE ALQUILER Y TURIS
4215	SERVICIOS DE GUIAS-AEREOS Y TERRESTRES .
4511	AIRLINES, AIR CARRIERS
4722	AGENCIAS DE VIAJES
3351	AEROLINEAS - AFFILIATED AUTO RENTAL
3357	HERTZ RENT-A-CAR
3389	AVIS RENT-A-CAR
3412	A-1 RENT-A-CAR
7512	AGENCIAS DE ALQUILER DE AUTOS -AUN NO CL
8071	LABORATORIOS MEDICOS Y DENTALES
4789	SERVICIOS DE TRANSPORTES - AUN NO CLASIF
5311	GRANDES TIENDAS
5331	TIENDA DE VARIEDADES
5655	RIDING APPAREL STORES, SPORTS APPAREL ST
5712	TIENDA DE MUEBLES Y EQUIPOS PARA AL HOGA
5941	ARTICULOS PARA DEPORTES
5311	GRANDES TIENDAS
5521	CONCESIONARIA AUOTOS Y CAMIONES (SOLO US
5533	ACCESORIOS PARA AUTOMOVILES
5571	CONCESIONARIA DE MOTOCICLETAS
4814	SERVICIOS DE TELECOMUNICACIONES
5045	COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT
5311	GRANDES TIENDAS
5331	TIENDA DE VARIEDADES
5533	ACCESORIOS PARA AUTOMOVILES
5655	RIDING APPAREL STORES, SPORTS APPAREL ST
5699	TIENDA DE ADORNOS Y ACCESORIOS VARIOS
5712	TIENDA DE MUEBLES Y EQUIPOS PARA AL HOGA
5722	TIENDA DE ARTICULOS PARA EL HOGAR
5732	VENTAS DE RADIO, STEREO Y TV
5944	JOYERIA, RELOJERIA Y PLATERIA
7399	SERVICIOS COMERCIALES - AUN NO CLASIFICA
7999	SERVICIOS DE RECREACION Y ENTRETENIMIENT
5311	GRANDES TIENDAS
5331	TIENDA DE VARIEDADES
5722	TIENDA DE ARTICULOS PARA EL HOGAR
5732	VENTAS DE RADIO, STEREO Y TV
7622	REPARACION DE RADIOS, TV Y EQUIPOS DE SO
5200	ALMACEN DE REPUESTOS PARA EL HOGAR
5231	TIENDA DE VIDRIOS, PINTURAS Y TAPIZADOS
5251	FERRETERIAS
5311	GRANDES TIENDAS
5331	TIENDA DE VARIEDADES
5411	SUPERMERCADOS, VIVERRES
5499	TIENDA DE ALIMENTOS VARIOS
5532	NEUMATICOS
5651	TIENDA DE ROPAS PARA TODA LA FAMILIA
5655	RIDING APPAREL STORES, SPORTS APPAREL ST
5699	TIENDA DE ADORNOS Y ACCESORIOS VARIOS
5712	TIENDA DE MUEBLES Y EQUIPOS PARA AL HOGA
5719	TIENDAS DE ACCESORIOS VARIOS PARA EL HOG
5722	TIENDA DE ARTICULOS PARA EL HOGAR
5732	VENTAS DE RADIO, STEREO Y TV
5733	TIENDA DE MUSICA, INSTRUMENTOS, PIANOS E
5943	LIBRERIA
5945	TIENDA DE ENTRETENIMIENTOS Y JUGUETES
5946	CASA DE REPUESTOS PARA CAMARAS FOTOGRAFI
5947	TIENDA DE REGALOS,TARJETAS,NOVEDADES Y R
5971	ARTISTAS Y GALERIAS DE ARTES
7392	CONSULTING SERVICES, MANAGEMENT SERVICES
7395	LABORATORIO FOTOGRAFICO, REVELADOS
7399	SERVICIOS COMERCIALES - AUN NO CLASIFICA
7538	REPARACION DE AUTOMOVILES (NO COMERCIAL)
5311	GRANDES TIENDAS
5733	TIENDA DE MUSICA, INSTRUMENTOS, PIANOS E
5812	RESTAURANTES
5813	BARES EN GRAL (TRAGOS LARGOS CON ALCOHOL
5942	BOOK STORES
7929	BANDS-NOT ELSEWHERE CLASSIFIED, ENTERTAI
5940	VENTAS Y REPARACIONES DE BICICLETAS
4814	SERVICIOS DE TELECOMUNICACIONES
5712	TIENDA DE MUEBLES Y EQUIPOS PARA AL HOGA
7299	SERVICIOS PERSONALES VARIOS - AUN NO CAL
8021	DENTISTAS
8220	COLEGIOS, UNIVERSIDADES, ESCUELAS PROFES
8299	SERVICIOS EDUCACIONALES (AUN NO CLASIFIC
9311	PAGOS DE IMPUESTOS
4789	SERVICIOS DE TRANSPORTES - AUN NO CLASIF
5311	GRANDES TIENDAS
5532	NEUMATICOS
5533	ACCESORIOS PARA AUTOMOVILES
5712	TIENDA DE MUEBLES Y EQUIPOS PARA AL HOGA
5231	TIENDA DE VIDRIOS, PINTURAS Y TAPIZADOS
